Release:     2015_05 of 29-Apr-2015
115442: CSK22_HUMAN (P19784)    
115450: CASA1_HUMAN (P47710)    
115460: CASB_HUMAN  (P05814)    
115500: CATA_HUMAN  (P04040)    
115501: TYRP1_HUMAN (P17643)    
115700: CRGD_HUMAN  (P07320)    
115900: CRBA2_HUMAN (P53672)    
116100: CRBS_HUMAN  (P22914)    
116200: CXA8_HUMAN  (P48165)    
116300: VIME_HUMAN  (P08670)    
116400: WFS1_HUMAN  (O76024)    
116600: EPHA2_HUMAN (P29317)    
116790: COMT_HUMAN  (P21964)    
116800: HSF4_HUMAN  (Q9ULV5)    
116805: CTNA1_HUMAN (P35221)    
116806: CTNB1_HUMAN (P35222)    
116810: CATB_HUMAN  (P07858)    
116820: CATH_HUMAN  (P09668)    
116830: CATG_HUMAN  (P08311)    
116831: GRAH_HUMAN  (P20718)    
116840: CATD_HUMAN  (P07339)    
116845: CATS_HUMAN  (P25774)    
116860: KRIT1_HUMAN (O00522)    
116880: CATL1_HUMAN (P07711)    
116890: CATE_HUMAN  (P14091)    
116896: CASP_HUMAN  (Q13948)    , CUX1_HUMAN  (P39880))   
116897: CEBPA_HUMAN (P49715)    
116898: CEBPD_HUMAN (P49716)    
116899: CDN1A_HUMAN (P38936)    
116900: CKS1_HUMAN  (P61024)    
116901: CKS2_HUMAN  (P33552)    
116920: ITB2_HUMAN  (P05107)    
116930: NCAM1_HUMAN (P13591)    
116940: CDK1_HUMAN  (P06493)    
116945: MCM2_HUMAN  (P49736)    
116946: CDC27_HUMAN (P30260)    
116947: MPIP1_HUMAN (P30304)    
116948: UB2R1_HUMAN (P49427)    
116949: MPIP2_HUMAN (P30305)    
116951: CD11A_HUMAN (Q9UQ88)    
116952: CDC42_HUMAN (P60953)    
116953: CDK2_HUMAN  (P24941)    
116955: CNBP_HUMAN  (P62633)    
116957: RBL1_HUMAN  (P28749)    
117000: RYR1_HUMAN  (P21817)    
117139: CENPA_HUMAN (P49450)    
117140: CENPB_HUMAN (P07199)    
117141: CENPC_HUMAN (Q03188)    
117143: CENPE_HUMAN (Q02224)    
117210: BEAN1_HUMAN (Q3B7T3)    
117300: ITM2B_HUMAN (Q9Y287)    
117340: CDR2_HUMAN  (Q01850)    
117360: ITPR1_HUMAN (Q14643)    
117550: NSD1_HUMAN  (Q96L73)    
117700: CERU_HUMAN  (P00450)    
117800: ABCCB_HUMAN (Q96J66)    
118100: GDF6_HUMAN  (Q6KF10)    
118190: CH60_HUMAN  (P10809)    
118200: MYP0_HUMAN  (P25189)    
118210: KIF1B_HUMAN (O60333)    
118220: PMP22_HUMAN (Q01453)    
118300: PMP22_HUMAN (Q01453)    
118400: 3BP2_HUMAN  (P78314)    
118423: CHIN_HUMAN  (P15882)    
118425: CLCN1_HUMAN (P35523)    
118440: CCKN_HUMAN  (P06307)    
118444: CCKAR_HUMAN (P32238)    
118445: GASR_HUMAN  (P32239)    
118450: JAG1_HUMAN  (P78504)    
118455: CP7A1_HUMAN (P22680)    
118470: CETP_HUMAN  (P11597)    
118485: CP11A_HUMAN (P05108)    
118490: CLAT_HUMAN  (P28329)    
118491: CHKA_HUMAN  (P35790)    
118493: ACM2_HUMAN  (P08172)    
118494: ACM3_HUMAN  (P20309)    
118495: ACM4_HUMAN  (P08173)    
118496: ACM5_HUMAN  (P08912)    
118502: ACHA2_HUMAN (Q15822)    
118503: ACHA3_HUMAN (P32297)    
118504: ACHA4_HUMAN (P43681)    
118505: ACHA5_HUMAN (P30532)    
118507: ACHB2_HUMAN (P17787)    
118508: ACHB3_HUMAN (Q05901)    
118509: ACHB4_HUMAN (P30926)    
118510: ACM1_HUMAN  (P11229)    
118511: ACHA7_HUMAN (P36544)    
118600: ANKH_HUMAN  (Q9HCJ1)    
118661: CSPG2_HUMAN (P13611)    
118700: NKX21_HUMAN (P43699)    
118800: PNKD_HUMAN  (Q8N490)    
118820: CSH2_HUMAN  (P0DML3)    
118825: RAE2_HUMAN  (P26374)    
118850: GLHA_HUMAN  (P01215)    
118860: CGHB_HUMAN  (P01233)    
118888: CTRL_HUMAN  (P40313)    
118890: CTRB1_HUMAN (P17538)    
118910: CMGA_HUMAN  (P10645)    
118920: SCG1_HUMAN  (P05060)    
118930: SCG2_HUMAN  (P13521)    
118938: CMA1_HUMAN  (P23946)    
118945: CNTF_HUMAN  (P26441)    
118946: CNTFR_HUMAN (P26992)    
118950: CISY_HUMAN  (O75390)    
118955: CLH1_HUMAN  (Q00610)    
118960: CLCA_HUMAN  (P09496)    
118970: CLCB_HUMAN  (P09497)    
118990: SSFA2_HUMAN (P28290)    
119300: IRF6_HUMAN  (O14896)    
119500: IRF6_HUMAN  (O14896)    
119540: SATB2_HUMAN (Q9UPW6)    
119600: RUNX2_HUMAN (Q13950)    
119800: PITX1_HUMAN (P78337)    
119900: PGDH_HUMAN  (P15428)    
